run,block_size,n_blocks,fraction,corrupted_images,corrupted_pixel_fraction,algorithm,k,rre,accuracy,accuracy_hungarian,nmi,iterations,converged,final_cost,seconds
1,15,2,0.75,1630,0.152603,"L2,1-NMF",38,0.7690719358705999,0.09848136217211229,0.09249884951679706,0.13600871639918122,250,0,13134.42401848184,14.54437233399949
1,15,2,0.75,1630,0.152603,L1-Reg Robust,38,0.3715868229698287,0.09203865623561897,0.08697653014265992,0.12515827219537176,250,0,14687.725890747599,15.272148792006192
1,15,2,1.0,2173,0.204794,F-norm MU,38,0.891363067997417,0.09526000920386563,0.09019788311090658,0.12417847066847819,250,0,104151.4504587965,5.941672749991994
1,15,2,1.0,2173,0.204794,L1-NMF,38,0.7990613889564337,0.08605614358030372,0.0800736309249885,0.10983381324187345,250,0,575536.6138510179,15.373652750000474
1,15,2,1.0,2173,0.204794,Hypersurface,38,0.8626173383764824,0.09249884951679706,0.0883571099861942,0.11710815623897082,250,0,337688.0090628311,19.57361479199608
1,15,2,1.0,2173,0.204794,"L2,1-NMF",38,0.8908588919592704,0.09341923607915324,0.0883571099861942,0.11987596184679926,250,0,14785.692836535763,14.841524457995547
1,15,2,1.0,2173,0.204794,L1-Reg Robust,38,0.4376814563967105,0.09387942936033133,0.08743672342383801,0.13638666593444815,250,0,17778.233431493773,14.938180124998325
2,0,0,0.0,0,0.0,F-norm MU,38,0.19138151064406772,0.2310170271514036,0.2218131615278417,0.3514176441485264,250,0,21547.46574709663,5.2821335419866955
2,0,0,0.0,0,0.0,L1-NMF,38,0.26380554783227594,0.10492406810860562,0.10078232857800276,0.14420612416027942,250,0,254557.31833765324,11.325908457991318
2,0,0,0.0,0,0.0,Hypersurface,38,0.21248014919568106,0.21214910262310172,0.2052462034054303,0.2989206092824036,250,0,114750.68991295973,12.696156707999762
2,0,0,0.0,0,0.0,"L2,1-NMF",38,0.193328236466352,0.2383801196502531,0.22733548090197883,0.3425724947607214,250,0,6657.720862132528,9.787036459005321
2,0,0,0.0,0,0.0,L1-Reg Robust,38,0.29134706727081444,0.08743672342383801,0.08191440404970088,0.11402920504730561,250,0,5338.558778508841,14.218240165995667
2,5,1,1.0,2173,0.012366,F-norm MU,38,0.2274411300230538,0.2052462034054303,0.19834330418775886,0.3028614133671145,250,0,45558.09454776466,5.038384458006476
2,5,1,1.0,2173,0.012366,L1-NMF,38,0.26381240231465153,0.10492406810860562,0.09986194201564658,0.1415837641998552,250,0,291013.5175445137,11.884481041997788
2,5,1,1.0,2173,0.012366,Hypersurface,38,0.2131591939038198,0.21721122871606074,0.2112287160607455,0.30076759242349316,250,0,149653.32863373272,13.84105845799786
2,5,1,1.0,2173,0.012366,"L2,1-NMF",38,0.22637627139795669,0.18959963184537507,0.1859180855959503,0.29142680432258505,250,0,9797.714595708372,10.280899791992852
2,5,1,1.0,2173,0.012366,L1-Reg Robust,38,0.2927421070016377,0.08605614358030372,0.0800736309249885,0.10475563399785832,250,0,6146.454143150349,14.503124499999103
2,10,1,1.0,2173,0.049503,F-norm MU,38,0.44986388699531926,0.0980211688909342,0.09065807639208467,0.14774356180974227,250,0,59686.4036234976,4.929476540986798
2,10,1,1.0,2173,0.049503,L1-NMF,38,0.26531823967766327,0.09940174873446847,0.09341923607915324,0.13592310636239976,250,0,397372.78570095997,11.808156334009254
2,10,1,1.0,2173,0.049503,Hypersurface,38,0.2735834396587741,0.15692590888173033,0.1500230096640589,0.22397150748919845,250,0,239046.36053568026,13.25364733299648
2,10,1,1.0,2173,0.049503,"L2,1-NMF",38,0.44676381268204696,0.11596870685687989,0.10998619420156466,0.1664383823042076,250,0,11218.433394894291,10.969685749994824
2,10,1,1.0,2173,0.049503,L1-Reg Robust,38,0.297645737085796,0.09341923607915324,0.08743672342383801,0.11772251182907349,250,0,8536.974490006402,15.575014375004685
2,15,1,1.0,2173,0.111315,F-norm MU,38,0.6676924316219229,0.0892774965485504,0.08651633686148182,0.12179462946812225,250,0,71669.20487490737,4.904549042010331
2,15,1,1.0,2173,0.111315,L1-NMF,38,0.3605275364414655,0.0966405890473999,0.09249884951679706,0.13040161083837506,250,0,532715.9447429846,12.36280820799584
2,15,1,1.0,2173,0.111315,Hypersurface,38,0.6298144480087116,0.09848136217211229,0.09341923607915324,0.12664786699445693,250,0,256458.08260284617,13.575273624999681
2,15,1,1.0,2173,0.111315,"L2,1-NMF",38,0.6671284304846647,0.0975609756097561,0.09295904279797515,0.13506982751171157,250,0,12301.286084234811,10.411562958994182
2,15,1,1.0,2173,0.111315,L1-Reg Robust,38,0.3232733369418868,0.09618039576622181,0.0883571099861942,0.12778943362601972,250,0,12435.197073282368,14.003350874991156
2,20,1,1.0,2173,0.197985,F-norm MU,38,0.8927937250717307,0.08237459733087897,0.07777266451909802,0.10184744113890092,250,0,76556.62411673351,5.1585967910068575
2,20,1,1.0,2173,0.197985,L1-NMF,38,0.8370561869877922,0.08605614358030372,0.08329498389323516,0.10822031421988405,250,0,481193.1983625049,11.887214750007843
